order_id,date,time,pizza_name,category,size,quantity,price,total_revenue
1,2015-01-01,11:38:36,"The Hawaiian Pizza",Classic,M,1,13.25,13.25
2,2015-01-01,11:57:40,"The Thai Chicken Pizza",Chicken,L,1,20.75,20.75
2,2015-01-01,11:57:40,"The Mexicana Pizza",Veggie,M,1,16,16
2,2015-01-01,11:57:40,"The Italian Supreme Pizza",Supreme,L,1,20.75,20.75
2,2015-01-01,11:57:40,"The Five Cheese Pizza",Veggie,L,1,18.5,18.5
2,2015-01-01,11:57:40,"The Classic Deluxe Pizza",Classic,M,1,16,16
3,2015-01-01,12:12:28,"The Prosciutto and Arugula Pizza",Supreme,L,1,20.75,20.75
3,2015-01-01,12:12:28,"The Italian Supreme Pizza",Supreme,M,1,16.5,16.5
4,2015-01-01,12:16:31,"The Italian Supreme Pizza",Supreme,M,1,16.5,16.5
5,2015-01-01,12:21:30,"The Italian Supreme Pizza",Supreme,M,1,16.5,16.5
6,2015-01-01,12:29:36,"The Greek Pizza",Classic,S,1,12,12
6,2015-01-01,12:29:36,"The Barbecue Chicken Pizza",Chicken,S,1,12.75,12.75
7,2015-01-01,12:50:37,"The Spinach Supreme Pizza",Supreme,S,1,12.5,12.5
8,2015-01-01,12:51:37,"The Spinach Supreme Pizza",Supreme,S,1,12.5,12.5
9,2015-01-01,12:52:01,"The Vegetables + Vegetables Pizza",Veggie,S,1,12,12
9,2015-01-01,12:52:01,"The Spinach Pesto Pizza",Veggie,L,1,20.75,20.75
9,2015-01-01,12:52:01,"The Spicy Italian Pizza",Supreme,L,1,20.75,20.75
9,2015-01-01,12:52:01,"The Mexicana Pizza",Veggie,S,1,12,12
9,2015-01-01,12:52:01,"The Italian Supreme Pizza",Supreme,S,1,12.5,12.5
9,2015-01-01,12:52:01,"The Italian Supreme Pizza",Supreme,L,1,20.75,20.75
9,2015-01-01,12:52:01,"The Italian Capocollo Pizza",Classic,L,1,20.5,20.5
9,2015-01-01,12:52:01,"The Green Garden Pizza",Veggie,S,1,12,12
9,2015-01-01,12:52:01,"The Classic Deluxe Pizza",Classic,S,1,12,12
10,2015-01-01,13:00:15,"The Southwest Chicken Pizza",Chicken,L,1,20.75,20.75
10,2015-01-01,13:00:15,"The Mexicana Pizza",Veggie,L,1,20.25,20.25
11,2015-01-01,13:02:59,"The Pepperoni Pizza",Classic,L,1,15.25,15.25
11,2015-01-01,13:02:59,"The California Chicken Pizza",Chicken,M,1,16.75,16.75
11,2015-01-01,13:02:59,"The California Chicken Pizza",Chicken,L,1,20.75,20.75
11,2015-01-01,13:02:59,"The Barbecue Chicken Pizza",Chicken,L,1,20.75,20.75
12,2015-01-01,13:04:41,"The Italian Supreme Pizza",Supreme,M,1,16.5,16.5
12,2015-01-01,13:04:41,"The Chicken Pesto Pizza",Chicken,L,1,20.75,20.75
12,2015-01-01,13:04:41,"The California Chicken Pizza",Chicken,S,1,12.75,12.75
12,2015-01-01,13:04:41,"The California Chicken Pizza",Chicken,L,1,20.75,20.75
13,2015-01-01,13:11:55,"The Mexicana Pizza",Veggie,L,1,20.25,20.25
14,2015-01-01,13:14:19,"The Greek Pizza",Classic,S,1,12,12
15,2015-01-01,13:33:00,"The Greek Pizza",Classic,S,1,12,12
15,2015-01-01,13:33:00,"The Soppressata Pizza",Supreme,L,1,20.75,20.75
15,2015-01-01,13:33:00,"The Five Cheese Pizza",Veggie,L,1,18.5,18.5
15,2015-01-01,13:33:00,"The Big Meat Pizza",Classic,S,1,12,12
16,2015-01-01,13:34:07,"The Thai Chicken Pizza",Chicken,L,1,20.75,20.75
16,2015-01-01,13:34:07,"The Napolitana Pizza",Classic,S,1,12,12
16,2015-01-01,13:34:07,"The Four Cheese Pizza",Veggie,L,1,17.95,17.95
17,2015-01-01,13:53:00,"The Spinach and Feta Pizza",Veggie,L,1,20.25,20.25
17,2015-01-01,13:53:00,"The Pepper Salami Pizza",Supreme,S,1,12.5,12.5
17,2015-01-01,13:53:00,"The Mexicana Pizza",Veggie,L,1,20.25,20.25
17,2015-01-01,13:53:00,"The Mediterranean Pizza",Veggie,M,2,16,32
17,2015-01-01,13:53:00,"The Italian Vegetables Pizza",Veggie,S,1,12.75,12.75
17,2015-01-01,13:53:00,"The Italian Supreme Pizza",Supreme,M,1,16.5,16.5
17,2015-01-01,13:53:00,"The Four Cheese Pizza",Veggie,M,1,14.75,14.75
17,2015-01-01,13:53:00,"The Five Cheese Pizza",Veggie,L,1,18.5,18.5
17,2015-01-01,13:53:00,"The Calabrese Pizza",Supreme,M,1,16.25,16.25
17,2015-01-01,13:53:00,"The Barbecue Chicken Pizza",Chicken,L,1,20.75,20.75
18,2015-01-01,13:57:08,"The Napolitana Pizza",Classic,L,1,20.5,20.5
19,2015-01-01,13:59:09,"The Sicilian Pizza",Supreme,L,1,20.25,20.25
19,2015-01-01,13:59:09,"The Italian Capocollo Pizza",Classic,L,1,20.5,20.5
20,2015-01-01,14:03:08,"The Five Cheese Pizza",Veggie,L,1,18.5,18.5
20,2015-01-01,14:03:08,"The Big Meat Pizza",Classic,S,1,12,12
21,2015-01-01,14:14:29,"The Italian Capocollo Pizza",Classic,L,1,20.5,20.5
22,2015-01-01,14:16:26,"The Southwest Chicken Pizza",Chicken,L,1,20.75,20.75
22,2015-01-01,14:16:26,"The Italian Capocollo Pizza",Classic,M,1,16,16
22,2015-01-01,14:16:26,"The Five Cheese Pizza",Veggie,L,1,18.5,18.5
23,2015-01-01,14:19:03,"The Southwest Chicken Pizza",Chicken,S,1,12.75,12.75
24,2015-01-01,14:23:01,"The Prosciutto and Arugula Pizza",Supreme,S,1,12.5,12.5
24,2015-01-01,14:23:01,"The Pepperoni Pizza",Classic,M,1,12.5,12.5
24,2015-01-01,14:23:01,"The Italian Capocollo Pizza",Classic,M,1,16,16
24,2015-01-01,14:23:01,"The Barbecue Chicken Pizza",Chicken,M,1,16.75,16.75
25,2015-01-01,14:44:44,"The Thai Chicken Pizza",Chicken,L,1,20.75,20.75
25,2015-01-01,14:44:44,"The Sicilian Pizza",Supreme,M,1,16.25,16.25
26,2015-01-01,14:54:26,"The Vegetables + Vegetables Pizza",Veggie,L,1,20.25,20.25
26,2015-01-01,14:54:26,"The Classic Deluxe Pizza",Classic,S,1,12,12
27,2015-01-01,15:11:17,"The Spinach and Feta Pizza",Veggie,L,1,20.25,20.25
27,2015-01-01,15:11:17,"The Classic Deluxe Pizza",Classic,M,1,16,16
27,2015-01-01,15:11:17,"The Barbecue Chicken Pizza",Chicken,L,1,20.75,20.75
28,2015-01-01,15:35:46,"The Chicken Alfredo Pizza",Chicken,S,1,12.75,12.75
29,2015-01-01,15:41:01,"The Green Garden Pizza",Veggie,S,1,12,12
30,2015-01-01,15:41:25,"The Thai Chicken Pizza",Chicken,L,1,20.75,20.75
31,2015-01-01,15:50:18,"The Pepperoni Pizza",Classic,S,1,9.75,9.75
31,2015-01-01,15:50:18,"The Mexicana Pizza",Veggie,M,1,16,16
32,2015-01-01,15:53:18,"The Italian Supreme Pizza",Supreme,M,1,16.5,16.5
32,2015-01-01,15:53:18,"The Italian Capocollo Pizza",Classic,L,1,20.5,20.5
32,2015-01-01,15:53:18,"The Green Garden Pizza",Veggie,L,1,20.25,20.25
32,2015-01-01,15:53:18,"The Big Meat Pizza",Classic,S,1,12,12
33,2015-01-01,15:54:08,"The Green Garden Pizza",Veggie,S,1,12,12
33,2015-01-01,15:54:08,"The Barbecue Chicken Pizza",Chicken,L,1,20.75,20.75
34,2015-01-01,16:21:21,"The Greek Pizza",Classic,S,1,12,12
35,2015-01-01,16:32:04,"The Thai Chicken Pizza",Chicken,L,1,20.75,20.75
35,2015-01-01,16:32:04,"The Pepperoni Pizza",Classic,M,1,12.5,12.5
35,2015-01-01,16:32:04,"The Pepperoni, Mushroom, and Peppers Pizza",Classic,L,1,17.5,17.5
35,2015-01-01,16:32:04,"The Green Garden Pizza",Veggie,M,1,16,16
36,2015-01-01,16:54:09,"The Classic Deluxe Pizza",Classic,M,1,16,16
36,2015-01-01,16:54:09,"The Barbecue Chicken Pizza",Chicken,M,1,16.75,16.75
37,2015-01-01,16:56:09,"The Mexicana Pizza",Veggie,L,1,20.25,20.25
37,2015-01-01,16:56:09,"The Italian Supreme Pizza",Supreme,L,1,20.75,20.75
38,2015-01-01,17:03:00,"The Italian Capocollo Pizza",Classic,L,1,20.5,20.5
38,2015-01-01,17:03:00,"The Hawaiian Pizza",Classic,S,1,10.5,10.5
39,2015-01-01,17:07:23,"The Italian Supreme Pizza",Supreme,L,1,20.75,20.75
40,2015-01-01,17:14:36,"The Southwest Chicken Pizza",Chicken,S,1,12.75,12.75
40,2015-01-01,17:14:36,"The Four Cheese Pizza",Veggie,L,1,17.95,17.95
41,2015-01-01,17:15:20,"The Green Garden Pizza",Veggie,S,1,12,12
41,2015-01-01,17:15:20,"The Four Cheese Pizza",Veggie,M,1,14.75,14.75
42,2015-01-01,17:28:09,"The Pepper Salami Pizza",Supreme,M,1,16.5,16.5
42,2015-01-01,17:28:09,"The Mexicana Pizza",Veggie,L,1,20.25,20.25
42,2015-01-01,17:28:09,"The Five Cheese Pizza",Veggie,L,1,18.5,18.5
42,2015-01-01,17:28:09,"The Big Meat Pizza",Classic,S,1,12,12
43,2015-01-01,17:38:34,"The Pepper Salami Pizza",Supreme,L,1,20.75,20.75
43,2015-01-01,17:38:34,"The Italian Supreme Pizza",Supreme,M,1,16.5,16.5
43,2015-01-01,17:38:34,"The Chicken Alfredo Pizza",Chicken,M,1,16.75,16.75
44,2015-01-01,17:54:20,"The Spinach Pesto Pizza",Veggie,S,1,12.5,12.5
45,2015-01-01,17:55:48,"The Thai Chicken Pizza",Chicken,M,1,16.75,16.75
45,2015-01-01,17:55:48,"The Hawaiian Pizza",Classic,S,1,10.5,10.5
45,2015-01-01,17:55:48,"The Four Cheese Pizza",Veggie,L,1,17.95,17.95
46,2015-01-01,18:25:51,"The Thai Chicken Pizza",Chicken,M,1,16.75,16.75
46,2015-01-01,18:25:51,"The Classic Deluxe Pizza",Classic,L,1,20.5,20.5
46,2015-01-01,18:25:51,"The Chicken Pesto Pizza",Chicken,L,1,20.75,20.75
47,2015-01-01,18:26:34,"The Vegetables + Vegetables Pizza",Veggie,S,1,12,12
47,2015-01-01,18:26:34,"The Southwest Chicken Pizza",Chicken,L,1,20.75,20.75
48,2015-01-01,18:26:42,"The Spicy Italian Pizza",Supreme,L,1,20.75,20.75
48,2015-01-01,18:26:42,"The Prosciutto and Arugula Pizza",Supreme,L,1,20.75,20.75
48,2015-01-01,18:26:42,"The Green Garden Pizza",Veggie,S,1,12,12
48,2015-01-01,18:26:42,"The Chicken Pesto Pizza",Chicken,M,1,16.75,16.75
49,2015-01-01,18:33:00,"The Sicilian Pizza",Supreme,L,1,20.25,20.25
50,2015-01-01,18:41:01,"The Greek Pizza",Classic,XL,1,25.5,25.5
51,2015-01-01,18:48:28,"The Pepperoni, Mushroom, and Peppers Pizza",Classic,L,1,17.5,17.5
51,2015-01-01,18:48:28,"The Barbecue Chicken Pizza",Chicken,L,1,20.75,20.75
52,2015-01-01,18:53:02,"The Spicy Italian Pizza",Supreme,L,1,20.75,20.75
52,2015-01-01,18:53:02,"The Mexicana Pizza",Veggie,L,1,20.25,20.25
52,2015-01-01,18:53:02,"The Hawaiian Pizza",Classic,L,1,16.5,16.5
53,2015-01-01,18:54:17,"The Spinach Supreme Pizza",Supreme,M,1,16.5,16.5
53,2015-01-01,18:54:17,"The Pepperoni, Mushroom, and Peppers Pizza",Classic,S,1,11,11
54,2015-01-01,19:01:45,"The Thai Chicken Pizza",Chicken,L,1,20.75,20.75
54,2015-01-01,19:01:45,"The Prosciutto and Arugula Pizza",Supreme,M,1,16.5,16.5
55,2015-01-01,19:03:19,"The Spicy Italian Pizza",Supreme,L,1,20.75,20.75
55,2015-01-01,19:03:19,"The Pepper Salami Pizza",Supreme,S,1,12.5,12.5
56,2015-01-01,19:07:00,"The Southwest Chicken Pizza",Chicken,M,1,16.75,16.75
56,2015-01-01,19:07:00,"The Mediterranean Pizza",Veggie,L,1,20.25,20.25
56,2015-01-01,19:07:00,"The Classic Deluxe Pizza",Classic,M,1,16,16
57,2015-01-01,19:10:51,"The Classic Deluxe Pizza",Classic,M,1,16,16
58,2015-01-01,19:30:40,"The Pepperoni Pizza",Classic,M,1,12.5,12.5
58,2015-01-01,19:30:40,"The Five Cheese Pizza",Veggie,L,1,18.5,18.5
59,2015-01-01,19:40:08,"The Pepperoni Pizza",Classic,L,1,15.25,15.25
59,2015-01-01,19:40:08,"The Pepperoni, Mushroom, and Peppers Pizza",Classic,S,1,11,11
59,2015-01-01,19:40:08,"The Italian Vegetables Pizza",Veggie,S,1,12.75,12.75
60,2015-01-01,20:05:16,"The Four Cheese Pizza",Veggie,M,1,14.75,14.75
60,2015-01-01,20:05:16,"The Chicken Pesto Pizza",Chicken,L,1,20.75,20.75
61,2015-01-01,20:08:43,"The Italian Supreme Pizza",Supreme,L,1,20.75,20.75
61,2015-01-01,20:08:43,"The Barbecue Chicken Pizza",Chicken,M,1,16.75,16.75
62,2015-01-01,20:50:16,"The Spinach Supreme Pizza",Supreme,M,1,16.5,16.5
62,2015-01-01,20:50:16,"The Barbecue Chicken Pizza",Chicken,M,1,16.75,16.75
63,2015-01-01,20:51:42,"The Pepperoni, Mushroom, and Peppers Pizza",Classic,M,1,14.5,14.5
64,2015-01-01,20:52:08,"The Big Meat Pizza",Classic,S,1,12,12
65,2015-01-01,21:16:00,"The Spinach Supreme Pizza",Supreme,M,1,16.5,16.5
65,2015-01-01,21:16:00,"The Spicy Italian Pizza",Supreme,S,1,12.5,12.5
65,2015-01-01,21:16:00,"The Sicilian Pizza",Supreme,S,1,12.25,12.25
65,2015-01-01,21:16:00,"The Pepperoni, Mushroom, and Peppers Pizza",Classic,S,1,11,11
66,2015-01-01,21:47:55,"The Italian Capocollo Pizza",Classic,M,1,16,16
66,2015-01-01,21:47:55,"The Classic Deluxe Pizza",Classic,M,1,16,16
67,2015-01-01,22:03:40,"The Southwest Chicken Pizza",Chicken,L,1,20.75,20.75
68,2015-01-01,22:07:32,"The Italian Supreme Pizza",Supreme,M,1,16.5,16.5
